Date/Time,Word Count,de,en,ja
2022.11.30-02.57.22,494,0,494,0
2022.11.30-03.00.30,494,10,494,0
2022.11.30-03.11.55,494,490,494,0
2022.11.30-04.05.23,494,494,494,0
2022.11.30-04.07.12,535,494,535,0
2022.11.30-04.10.38,535,535,535,0
2022.12.26-14.15.38,1033,391,1033,0
2022.12.26-14.50.40,1033,857,1033,0
2022.12.26-14.58.19,1033,856,1033,0
2022.12.26-15.00.19,1033,856,1033,14
2022.12.26-15.23.55,1030,821,1030,0
2022.12.28-17.39.34,970,671,970,0
2022.12.28-17.44.13,970,841,970,0
2022.12.28-17.46.08,970,841,970,0
